Entry Number,Name,Year,Duration,Movie Rating,Movie Score,Total votes
1,Gaqceva shoushenkidan,1994,2h 22m,R,9.3,2.8M
2,Natlimama,1972,2h 55m,R,9.2,2M
3,Shavi Raindi,2008,2h 32m,PG-13,9.0,2.8M
4,The Godfather Part II,1974,3h 22m,R,9.0,1.3M
5,12 Angry Men,1957,1h 36m,Approved,9.0,845K
6,Shindleris sia,1993,3h 15m,R,9.0,1.4M
7,The Lord of the Rings: The Return of the King,2003,3h 21m,PG-13,9.0,1.9M
8,Makulatura,1994,2h 34m,R,8.9,2.2M
9,Bechdebis mbrdzanebeli: Bechdis sadzmo,2001,2h 58m,PG-13,8.8,2M
10,"Kargi, cudi, boroti",1966,2h 41m,Approved,8.8,798K
11,Forrest Gump,1994,2h 22m,PG-13,8.8,2.2M
12,Fight Club,1999,2h 19m,R,8.8,2.3M
13,The Lord of the Rings: The Two Towers,2002,2h 59m,PG-13,8.8,1.7M
14,Dasatskisi,2010,2h 28m,PG-13,8.8,2.5M
15,Star Wars: Episode V - The Empire Strikes Back,1980,2h 4m,PG,8.7,1.4M
16,The Matrix,1999,2h 16m,R,8.7,2M
17,Goodfellas,1990,2h 25m,R,8.7,1.2M
18,One Flew Over the Cuckoo's Nest,1975,2h 13m,R,8.7,1.1M
19,Shvidi,1995,2h 7m,R,8.6,1.8M
20,It's a Wonderful Life,1946,2h 10m,PG,8.6,486K
21,Shichinin no samurai,1954,3h 27m,Not Rated,8.6,361K
22,Interstelari,2014,2h 49m,PG-13,8.7,2M
23,The Silence of the Lambs,1991,1h 58m,R,8.6,1.5M
24,Rigiti Raianis Gadasarchenad,1998,2h 49m,R,8.6,1.5M
25,Cidade de Deus,2002,2h 10m,R,8.6,789K
26,La vita è bella,1997,1h 56m,PG-13,8.6,730K
27,Mtsvane mili,1999,3h 9m,R,8.6,1.4M
28,Spider-Man: Across the Spider-Verse,2023,2h 20m,PG,8.6,315K
29,Star Wars,1977,2h 1m,PG,8.6,1.4M
30,Terminator 2: Judgment Day,1991,2h 17m,R,8.6,1.2M
31,Back to the Future,1985,1h 56m,PG,8.5,1.3M
32,Sen to Chihiro no kamikakushi,2001,2h 5m,PG,8.6,824K
33,Pianisti,2002,2h 30m,R,8.5,891K
34,Psycho,1960,1h 49m,R,8.5,707K
35,Gisaengchung,2019,2h 12m,R,8.5,912K
36,Gladiator,2000,2h 35m,R,8.5,1.6M
37,The Lion King,1994,1h 28m,G,8.5,1.1M
38,Léon,1994,1h 50m,R,8.5,1.2M
39,American History X,1998,1h 59m,R,8.5,1.2M
40,Gandgomilebi,2006,2h 31m,R,8.5,1.4M
41,Shepkrobili,2014,1h 46m,R,8.5,953K
42,The Prestige,2006,2h 10m,PG-13,8.5,1.4M
43,Hotaru no haka,1988,1h 29m,Not Rated,8.5,301K
44,The Usual Suspects,1995,1h 46m,R,8.5,1.1M
45,Seppuku,1962,2h 13m,Not Rated,8.6,66K
46,Casablanca,1942,1h 42m,PG,8.5,597K
47,Intouchables,2011,1h 52m,R,8.5,910K
48,Modern Times,1936,1h 27m,G,8.5,255K
49,Nuovo Cinema Paradiso,1988,2h 35m,PG,8.5,277K
50,C'era una volta il West,1968,2h 46m,PG-13,8.5,345K
51,Rear Window,1954,1h 52m,PG,8.5,514K
52,Alien,1979,1h 57m,R,8.5,932K
53,City Lights,1931,1h 27m,G,8.5,193K
54,Apocalypse Now,1979,2h 27m,R,8.4,699K
55,Django Unchained,2012,2h 45m,R,8.5,1.7M
56,Memento,2000,1h 53m,R,8.4,1.3M
57,Raiders of the Lost Ark,1981,1h 55m,PG,8.4,1M
58,WALL·E,2008,1h 38m,G,8.4,1.2M
59,Skhvebis Tskhovreba,2006,2h 17m,R,8.4,405K
60,Sunset Blvd.,1950,1h 50m,Passed,8.4,233K
